datetime_local,datetime_utc,date,year,month,hour,location_clean,target_lat,target_lon,h2s_ppb,h2s_level_clean,valid_h2s_record,elevated_h2s_event,h2s_ge_10_event,orange_h2s_event,temperature_2m_f,dewpoint_2m_f,wind_speed_10m_mph,wind_direction_10m,wind_gust_10m_mph,visibility_surface_miles,temperature_2m,dewpoint_2m,wind_u_10m,wind_v_10m,wind_speed_10m,wind_gust_10m,visibility_surface,nighttime_flag,analysis_period,rtma_match_subset_definition,temperature_2m_units,temperature_2m_grid_lat,temperature_2m_grid_lon,dewpoint_2m_units,dewpoint_2m_grid_lat,dewpoint_2m_grid_lon,wind_u_10m_units,wind_u_10m_grid_lat,wind_u_10m_grid_lon,wind_v_10m_units,wind_v_10m_grid_lat,wind_v_10m_grid_lon,wind_direction_10m_units,wind_direction_10m_grid_lat,wind_direction_10m_grid_lon,wind_speed_10m_units,wind_speed_10m_grid_lat,wind_speed_10m_grid_lon,wind_gust_10m_units,wind_gust_10m_grid_lat,wind_gust_10m_grid_lon,visibility_surface_units,visibility_surface_grid_lat,visibility_surface_grid_lon,visibility_surface_km,time,datetime_utc_original,h2s_level,exceedance_30ppb,exceedance_200ppb
2024-09-25 19:00:00,2024-09-26 02:00:00,2024-09-25,2024,2024-09,19,SAN YSIDRO,32.552,-117.0431,10.0,Yellow (5-29.9 ppB),True,True,True,False,64.14801757812504,60.13399780273441,8.097722544002533,289.79998779296875,13.287423727998734,8.836541687896903,17.860009765625023,15.629998779296898,3.1600000858306885,-1.7599999904632568,3.619999885559082,5.940000057220459,14221.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,14.221,7:00:00 PM,2024-09-26 02:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 00:00:00,2024-12-07 08:00:00,2024-12-07,2024,2024-12,0,NESTOR - BES,32.579,-117.091,17.8,Yellow (5-29.9 ppB),True,True,True,False,53.294019775390666,42.79998901367192,4.6975737866687775,119.4000015258789,6.241062514667512,3.354791405172307,11.830010986328148,5.999993896484398,-1.6399999856948853,1.309999942779541,2.0999999046325684,2.789999961853028,5399.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,5.399,12:00:00 AM,2024-12-07 08:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 00:00:00,2024-12-07 08:00:00,2024-12-07,2024,2024-12,0,SAN YSIDRO,32.552,-117.0431,10.8,Yellow (5-29.9 ppB),True,True,True,False,52.41198242187504,42.044019775390666,3.377779378666878,84.9000015258789,5.077853757333756,7.547193259348553,11.339990234375025,5.580010986328148,-1.5099999904632568,0.1099999994039535,1.5099999904632568,2.2699999809265137,12146.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,12.146,12:00:00 AM,2024-12-07 08:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 01:00:00,2024-12-07 09:00:00,2024-12-07,2024,2024-12,1,NESTOR - BES,32.579,-117.091,20.1,Yellow (5-29.9 ppB),True,True,True,False,54.24801757812504,42.007984619140665,2.438264674665928,87.0,4.854159970664979,7.449637739694533,12.360009765625025,5.559991455078148,-1.0800000429153442,0.1199999973177909,1.090000033378601,2.1700000762939453,11989.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,11.989,1:00:00 AM,2024-12-07 09:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 01:00:00,2024-12-07 09:00:00,2024-12-07,2024,2024-12,1,SAN YSIDRO,32.552,-117.0431,15.0,Yellow (5-29.9 ppB),True,True,True,False,54.42797363281254,39.0379956054688,6.8226668933343895,43.29999923706055,6.8226668933343895,7.731119589396896,12.459985351562525,3.9099975585937727,-2.430000066757202,-1.850000023841858,3.049999952316284,3.049999952316284,12442.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,12.442,1:00:00 AM,2024-12-07 09:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 02:00:00,2024-12-07 10:00:00,2024-12-07,2024,2024-12,2,NESTOR - BES,32.579,-117.091,17.5,Yellow (5-29.9 ppB),True,True,True,False,51.36800659179691,40.819978027343794,2.3040481360006333,44.0,2.3040481360006333,7.618029751326631,10.760003662109398,4.899987792968773,-0.8299999833106995,-0.6100000143051147,1.0299999713897705,1.0299999713897705,12260.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,12.26,2:00:00 AM,2024-12-07 10:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 02:00:00,2024-12-07 10:00:00,2024-12-07,2024,2024-12,2,SAN YSIDRO,32.552,-117.0431,11.6,Yellow (5-29.9 ppB),True,True,True,False,53.67200439453129,34.015980224609415,6.084476863999368,80.19999694824219,6.084476863999368,8.10456460412343,12.040002441406273,1.1199890136718975,-2.720000028610229,-0.0199999995529651,2.720000028610229,2.720000028610229,13043.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,13.043,2:00:00 AM,2024-12-07 10:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 03:00:00,2024-12-07 11:00:00,2024-12-07,2024,2024-12,3,NESTOR - BES,32.579,-117.091,15.7,Yellow (5-29.9 ppB),True,True,True,False,52.123975830078166,39.01997802734379,4.47388,78.0999984741211,9.932013727998736,8.084059303813985,11.179986572265648,3.8999877929687727,-1.9900000095367432,-0.0900000035762786,2.0,4.440000057220459,13010.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,13.01,3:00:00 AM,2024-12-07 11:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 04:00:00,2024-12-07 12:00:00,2024-12-07,2024,2024-12,4,NESTOR - BES,32.579,-117.091,10.5,Yellow (5-29.9 ppB),True,True,True,False,52.015980224609415,39.32600219726567,2.7961750000000003,24.200000762939453,8.478002514667512,9.172704338424449,11.119989013671898,4.070001220703148,-0.6899999976158142,-1.0399999618530271,1.25,3.7899999618530273,14762.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.762,4:00:00 AM,2024-12-07 12:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 19:00:00,2024-12-08 03:00:00,2024-12-07,2024,2024-12,19,NESTOR - BES,32.579,-117.091,11.1,Yellow (5-29.9 ppB),True,True,True,False,58.09998901367192,42.40398681640629,3.556734674665928,102.1999969482422,4.6752044080019,9.513216598108542,14.499993896484398,5.779992675781273,-1.4800000190734863,0.5899999737739563,1.590000033378601,2.0899999141693115,15310.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.31,7:00:00 PM,2024-12-08 03:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 22:00:00,2024-12-08 06:00:00,2024-12-07,2024,2024-12,22,NESTOR - BES,32.579,-117.091,12.9,Yellow (5-29.9 ppB),True,True,True,False,56.31800659179692,42.87200439453129,4.585726893334389,221.6000061035156,4.585726893334389,9.93264319534716,13.510003662109398,6.040002441406273,1.590000033378601,1.2899999618530271,2.049999952316284,2.049999952316284,15985.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.985,10:00:00 PM,2024-12-08 06:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 22:00:00,2024-12-08 06:00:00,2024-12-07,2024,2024-12,22,SAN YSIDRO,32.552,-117.0431,26.8,Yellow (5-29.9 ppB),True,True,True,False,57.84801757812504,29.227973632812542,2.1027235946667195,70.5,2.1027235946667195,9.921458486087465,14.360009765625025,-1.5400146484374773,-0.9200000166893004,-0.1700000017881393,0.9399999976158142,0.9399999976158142,15967.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,15.967,10:00:00 PM,2024-12-08 06:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 23:00:00,2024-12-08 07:00:00,2024-12-07,2024,2024-12,23,NESTOR - BES,32.579,-117.091,29.8,Yellow (5-29.9 ppB),True,True,True,False,55.07600219726567,40.42397583007816,4.608096272001267,223.6999969482422,5.167331272001267,9.351038313842942,12.820001220703148,4.679986572265648,1.6399999856948853,1.2400000095367432,2.059999942779541,2.309999942779541,15049.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.049,11:00:00 PM,2024-12-08 07:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-07 23:00:00,2024-12-08 07:00:00,2024-12-07,2024,2024-12,23,SAN YSIDRO,32.552,-117.0431,29.2,Yellow (5-29.9 ppB),True,True,True,False,56.35398681640629,26.76198242187504,4.585726893334389,74.9000015258789,5.860782544002533,9.670423900480944,13.529992675781273,-2.9100097656249773,-2.039999961853028,-0.209999993443489,2.049999952316284,2.619999885559082,15563.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.550774662526784,-117.03813970343958,C,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,Degree true,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m s**-1,32.550774662526784,-117.03813970343958,m,32.550774662526784,-117.03813970343958,15.563,11:00:00 PM,2024-12-08 07:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-16 18:00:00,2024-12-17 02:00:00,2024-12-16,2024,2024-12,18,NESTOR - BES,32.579,-117.091,11.9,Yellow (5-29.9 ppB),True,True,True,False,57.34401977539066,53.13202636718754,3.6685815680003167,320.1000061035156,4.406771863999367,8.733393813613034,14.080010986328148,11.740014648437525,0.8299999833106995,-1.409999966621399,1.6399999856948853,1.9700000286102293,14055.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.055,6:00:00 PM,2024-12-17 02:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-16 19:00:00,2024-12-17 03:00:00,2024-12-16,2024,2024-12,19,NESTOR - BES,32.579,-117.091,12.2,Yellow (5-29.9 ppB),True,True,True,False,55.92200439453129,52.89801757812504,1.3421640533328056,330.1000061035156,5.167331272001267,8.893086606932036,13.290002441406273,11.610009765625025,0.209999993443489,-0.5600000023841858,0.6000000238418579,2.309999942779541,14312.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,14.312,7:00:00 PM,2024-12-17 03:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-16 20:00:00,2024-12-17 04:00:00,2024-12-16,2024,2024-12,20,NESTOR - BES,32.579,-117.091,12.9,Yellow (5-29.9 ppB),True,True,True,False,55.18399780273442,51.78202636718754,2.3711562720012664,318.70001220703125,3.1317159466671947,9.941963786396908,12.879998779296898,10.990014648437525,0.5600000023841858,-0.8999999761581421,1.059999942779541,1.399999976158142,16000.0,1,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,16.0,8:00:00 PM,2024-12-17 04:00:00+00:00,Yellow (5-29.9 ppB),0,0
2024-12-25 18:00:00,2024-12-26 02:00:00,2024-12-25,2024,2024-12,18,NESTOR - BES,32.579,-117.091,10.1,Yellow (5-29.9 ppB),True,True,True,False,55.99401977539067,51.99801757812504,2.997499674665928,311.8999938964844,5.301547544002533,9.621956827022258,13.330010986328148,11.110009765625025,0.8399999737739563,-1.0399999618530271,1.340000033378601,2.369999885559082,15485.0,0,Immediate post-emergency,H2S events >= 10 ppb matched to hourly RTMA weather/wind variables,C,32.58811127797225,-117.09985585410789,C,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,Degree true,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m s**-1,32.58811127797225,-117.09985585410789,m,32.58811127797225,-117.09985585410789,15.485,6:00:00 PM,2024-12-26 02:00:00+00:00,Yellow (5-29.9 ppB),0,0
